data;titulo;nota;cargo;recomenda;perspectiva;tempo;pros;contras;conselho;link
16/04/2021 00:00;Time engajado e empático, mas precisa de mais definições do que são os objetivos atuais e próximos para cada aérea e da;5;Funcionário atual - Assistente De Atendimento;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em meio período há menos de um ano;"Os valores da empresa são enraizados e acontece o tempo todo principalmente dentro da equipe ""O Seu problema é meu problema""";Estamos numa fase de transição, que há espaço pra crescer e o foco é o resultado (outro valor da empresa), mas apesar das orientações e acompanhamentos da liderança, os pares ainda agem cegamente por números, esquecendo da qualidade.;Definir o que significa resultado conseguido de forma clara e objetiva.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW45634974.htm
22/04/2021 00:00;Experiência Ruim;1;Funcionário atual - Funcionário confidencial;Não recomenda;Perspectiva neutra;Trabalha na GetNinjas em período integral há mais de um ano; Pessoas colaborativas.  Pouca cobrança.  Salario compatível com o do mercado.;" Carreiras meteóricas para apenas algumas pessoas da empresa.  Pouca diversidade, gostam apenas de pessoas de faculdades de primeira linha. Poucos negros, mulheres e pessoas da comunidade LGBTI+ em cargo de liderança.  Um dos valores é um milhão de historia, mais infelizmente o valor que mais condiz é foco no resultado, isso tanto com o clientes, como também com os colaboradores.  Gestores mais preocupados em metas, mostrar bom trabalho do que desenvolver pessoas. O valor seu ideias valem mais que cargos, não aconteceu enquanto estive na empresa, deveria ser ""Manda quem pode, obedece quem tem juizo"".  Liderança bem elitizada e fora da realidade.  Ambiente toxico.";Trazer diversidade de fato para a empresa, não apenas para área de atendimento. Valorizar suas pessoas, não apenas de cargos de engenharia e Diretoria. Uns ganhando mais que o mercado, e outros ficando parados na posição, sem ter pessoas que as ajudem a desenvolver. Crescer não está apenas em receita, mas estar do lado daquelas pessoas que te apoiaram a chegar até lá.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW45914586.htm
16/03/2021 00:00;Uma das melhores empresas para se trabalhar no momento!;5;Funcionário atual - Analista de Relacionamento Júnior;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em período integral há menos de um ano;A Empresa é muito bacana. Sempre estão em prol do funcionário e parece que realmente temos voz na organização. Os setores são bem divididos e as pessoas são fantásticas. É uma empresa que batemos no peito e defendemos com unhas e dentes, pois sabemos que ela faz o mesmo por nós.;Muita demanda, mas é normal em Startups que estão em crescimento como a GetNinjas. As áreas estão ainda em estruturação e isso pode parecer confuso em alguns momentos. Mas são contras que estão em desenvolvimento e no radar da gestão!;Continuem com o excelente trabalho e com a cultura fantástica de vocês. Somos gratos pela oportunidade de ser um verdadeiro ninja, pois realmente nos sentimos assim trabalhando com vocês!;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44097567.htm
18/03/2021 00:00;Empresa idônea, moderna e avançada;5;Funcionário atual - Analista De Parcerias Pleno;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral;Empresa que olha para o colaborador e o trata como o bem mais precioso do seu patrimônio. Uma empresa super tecnológica porém com um olhar extremamente humano. Trabalham fortemente em cima da questão de diversidade e inclusão e oferecem inúmeros benefícios diferenciados aos colaboradores. Os times trabalham juntos, com total sinergia, clima colaborativo e de crescimento e aprendizado mútuo. Muito feliz por pertencer a uma empresa tão grande e que olha para o todo. Eu amo ser ninja!;Não tenho nada contra a empresa, muito pelo contrário, que o GetNinjas continue crescendo e prosperando cada vez mais!;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44221104.htm
16/03/2021 00:00;A melhor empresa para se trabalhar!;5;Funcionário atual - Analista de Relacionamento Júnior;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em período integral há menos de um ano;Bom, falar desta empresa é fantástico, tenho pouco tempo de casa e me sinto extremamente acolhida, mimada, valorizada e feliz. A empresa nos da todo o suporte necessario para desempenhar um excelente trabalho, cuida da sua saúde mental, valoriza seu trabalho, ajuda no que for possível para que você se torne um Ninja de verdade, crescer e se desenvolver, estou amando fazer parte do Time! Uma palavra me define neste momento, GRATIDÃO;Não há o que falar, não tenho pontos negativos;Estão no caminho certo, lugar de gente feliz!;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44099302.htm
11/04/2021 00:00;Pode melhorar;3;Funcionário atual - Customer Success;Recomenda;Perspectiva neutra;Trabalho na GetNinjas em período integral há menos de um ano; Suporte legal para o homeoffice  Engajada no bemestar do colaborador  Salário compatível com o mercado  Diversidade no quadro de colaboradores; Treinamento ruim para os novatos  Demanda altíssima, time defasado para suprir  Pouco controle da eficiência do quadro atual de colaboradores, principalmente no CS e Backoffice  Estratégia de atendimento não é alinhada entre Chat e Email e um prejudica o outro  Procedimentos ainda são confusos; O time de liderança é engajado, mas carece de mais visão na resolução de problemas;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW45334272.htm
17/03/2021 00:00;Sou apaixonado pela GetNinjas;5;Funcionário atual - Analista De Suporte;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Sem dúvida o melhor ambiente de trabalho que já tive. Time de P&C preocupados mesmo com os funcionários! Trabalham pessoas incríveis aqui! Muito satisfeito com meus gestores, aliás, na verdade, são nota 10. Empresa que prega diversidade e inclusão.;"Acredito que até tiveram pequenos erros pontuais, mas sempre na tentativa de acertar, e por se tratar de profissionais que se arriscam e procuram o melhor, é normal acontecer, então considero que não exista ""Contras""!";NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44146644.htm
25/04/2021 00:00;Product Manager;4;Ex-funcionário - Product Manager;NA;NA;Trabalhou na GetNinjas em período integral;Muitas responsabilidades dado a sua experiência se mostrar competente;Liderança confusa e falta de visão estratégica;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW46035597.htm
18/03/2021 00:00;Exemplo de Empresa :D;5;Funcionário atual - Analista De Relacionamento;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em período integral há menos de um ano;Humanização e valorização com e dos colaboradores, plano de carreira, gestões qualificadas, desenvolvimento diário, reconhecimentos, amizades reais, diversidade, profissionalismo, mimos, transparência.;No momento, a empresa está crescendo e as demandas aumentam muito, porém isso é bom também, pois o reconhecimento também aumenta.;Jamais perder essa essência humana com as pessoas internamente e externamente. Isso faz total diferença.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44193230.htm
17/03/2021 00:00;Excelente lugar para se trabalhar;5;Funcionário atual - Engenheiro De Dados Sênior;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Salário compatível com o mercado, Benefícios compatível com o mercado. Ambiente super saudável. RH super ativo, sempre com uma novidade e procurando ajudar os profissional.;Sempre tem algo mais que até o momento não me impactou.;No momento só um estudo sobre um PLR, pode motivar mais ainda!;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44138648.htm
22/03/2021 00:00;Incrível!;5;Funcionário atual - Analista de Relacionamento Júnior;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Apesar de ser uma empresa pertencente ao setor de tecnologia, o GetNinjas é uma empresa totalmente humanizada! Além disso, os valores da Startup são colocados em prática diariamente.;Gostaria de receber feedbacks com mais frequência.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44362295.htm
17/03/2021 00:00;Positiva;5;Funcionário atual - Agente De Atendimento;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em meio período há mais de 5 anos;Nunca me sentir tão acolhido, Empresa realmente que se preocupa muito com cada integrante do time, independente de cargos, E muito Flexível! ❤️;Não conseguir ver os contras ainda rs;Obrigado pela oportunidade!;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44126859.htm
17/03/2021 00:00;Se voce quer aprender esse é o local;5;Funcionário atual - Desenvolvedor Pleno;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Cultura forte Muito Aprendizado Impacto Social Possibilidade de crescer na carreira;É positivo no fim, mas definitivamente é um local que puxa uma dedicação muito grande;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW44129136.htm
15/04/2021 00:00;Empresa muito bagunçada;1;Ex-funcionário - Gerente;Não recomenda;Perspectiva negativa;Trabalhou na GetNinjas em período integral por mais de 3 anos;Perto do metrô e de outros meios de transporte;CEO muito centralizador, só gostava dos funcionários mais próximos, além de não remunerar salário de forma compatível com mercado.;Deixar de ser centralizador, e parar de enganar bons funcionários.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW45585182.htm
09/03/2021 00:00;Excelente empresa;5;Ex-funcionário - Analista De Recursos Humanos (RH) Pleno;Recomenda;Perspectiva positiva;Trabalhou na GetNinjas em período integral por mais de 3 anos;Empresa jovem com cultura de startup.;Falta de alinhamento de estratégia.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW43718473.htm
03/03/2021 00:00;Otimo para aprendizado;5;Ex-funcionário - Product Manager;Recomenda;Perspectiva positiva;Trabalhou na GetNinjas em período integral;Liberdade para aprender e testar novas ideias;Dificuldade para implementar alguma ideias por ser um time super enxuto;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW43396068.htm
03/03/2021 00:00;Òtima empresa;5;Funcionário atual - Front End Engineer;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Equipe, gestor, pessoas,beneficios e ajuda;Nao tenho nenhum contra para a empresa;nenhum;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW43420467.htm
04/03/2021 00:00;Avaliação sobre a empresa getninjas;3;Funcionário atual - Web Designer;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral;Muito bom o essa empresa a forma de trabalhar e a forma a facilidade da comunicação com o cliente e o desenvolvedor;O ruim e poder ajuntar créditos para efetuar os pedidos;Alcançar os objetivos;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW43493406.htm
11/01/2021 00:00;Um bom lugar para se trabalhar;4;Funcionário atual - Product Designer Pleno;Recomenda;Perspectiva neutra;Trabalho na GetNinjas em período integral há menos de um ano;Existe flexibilidade tanto de trabalho, quanto de horário. Você terá a chance de dar suas opiniões e de propor formas de fazer as coisas. O ritmo de trabalho é rápido, porém ainda saudável, pelo menos para cargos de nível similar ao meu.;Estrutura organizacional e técnica confusa. Muitos legados técnicos, e muita coisa a ser refeita, para que o serviço tome uma boa direção.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW40482060.htm
25/10/2020 00:00;Zelo pelos funcionários e um ótimo lugar para desenvolvimento profissional;4;Funcionário atual - Desenvolvedor Frontend;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;A empresa é bem solícita e disposta a ajudar os funcionários a se sentirem o mais confortáveis possível. A empresa conta com uma equipe que tem como objetivo fornecer um ambiente de trabalho mais humanizado, confortável, com presentes constantes e dispondo aos funcionários serviços para auxiliálos a manter um equilíbrio de corpo e mente. Equipe de tecnologia hoje vive um momento bem legal, com pessoas pragmáticas com bastante foco em solução de problemas. É e sempre foi um setor muito forte da empresa.;Falta clareza com relação a questão das possibilidades de carreira e de promoção, que hoje é muito subjetivo, gerando dǘvidas se realmente estamos ou não sendo avaliados. Pouca ousadia para inovar na questão tecnológica, progressos a passos lentos que desmotivam os funcionários com o passar do tempo.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW37602749.htm
10/11/2020 00:00;Muito bom;5;Funcionário atual - Designer;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano; Ambiente muito bom, todos tem voz e espaço para sugestões, ideias e desenvolvimento próprio.  As coisas acontecem de forma rápida, embora pudesse ser melhorado.  Os processos estão cada vez mais maduros, é uma empresa que está à frente do mercado com relação a processos e ferramentas.; Pouco reconhecimento salarial  Falta diversidade, principalmente em cargos de liderança;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW38207213.htm
14/10/2020 00:00;Uma empresa preocupada com seus Ninjas;5;Funcionário atual - Desenvolvedor;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano; Empresa cresce ano a ano, muito terreno para implantar conhecimentos, equipe tecnica excelente. Forte cultura de colaboração.; Falta de mapeamento de processos. Empresa depende muito do conhecimento de pessoas que já saíram. Falta de clareza de direção do nosso produto e em consequencia entrega.;Precisamos de um norte para que as pessoas que hoje fazem parte da empresa não desistam do trabalham que fazem e podem fazer ainda mais aqui. Precisamos de métricas claras, para conseguirmos entregar o que é preciso.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW37125886.htm
29/01/2021 00:00;Um exemplo para o Brasil;4;Funcionário atual - Especialista Em TI;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em período integral há menos de um ano;Empresa corretíssima e humana ótimos sistemas para a gente trabalhar;Ter uma política para reter os Profissionais;Ter uma política para reter os Profissionais e mantenha o full homeoffice!;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW41618175.htm
16/10/2020 00:00;Melhor ambiente para crescimento profissional;5;Ex-funcionário - Product Manager;Recomenda;Perspectiva positiva;Trabalhou na GetNinjas em período integral por mais de 5 anos;Mercado bem interessante, com grande impacto social. Ambiente bastante colaborativo e respeitoso, com autonomia para propor e executar novos projetos e muitas oportunidades de crescimento. Pessoas com alta qualidade técnica tornam a empresa um lugar excelente para aprender!;Empresa em rápido crescimento, falta estruturar melhor alguns processos;Continue valorizando as pessoas e abrindo oportunidades de crescimento profissional;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW37236766.htm
04/12/2020 00:00;Excelente;5;Funcionário atual - Senior Mobile Developer;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;Sabem ouvir os colaboradores e aprendem a crescer juntos;Seria interessante fortalecer algumas stacks importantes na empresa;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW39077064.htm
29/09/2020 00:00;Excelente Empresa;5;Ex-funcionário - Assistente De Marketing;Recomenda;Perspectiva positiva;Trabalhou na GetNinjas em período integral por mais de um ano;Espaço respeitoso, deixa os funcionários livres e costumam confiar bastante no potencial de cada um.;Processos seletivos muito estreitos e pouco amplos.;NA;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW36520496.htm
20/10/2020 00:00;GetNinjas Experiência;3;Funcionário atual - Customer Success Analyst;Recomenda;Perspectiva positiva;Trabalho na GetNinjas em meio período há menos de um ano;Time de CS muito engajado. Time de Pessoas e Cultura sempre pensando no bem estar das pessoas, benefícios;Salário nada compatível com o mercado. Salário de um analista é igual a de um estagiário. Metas agressivas. Muitas informações para aprender em pouco tempo.;melhorar muito o aplicativo pensando mais no profissional.;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW37389559.htm
12/02/2020 00:00;Lugar fantástico para começar a carreria!;5;Funcionário atual - Analista De Negócios;Recomenda;Perspectiva positiva;Trabalha na GetNinjas em período integral há mais de um ano;A empresa é um lugar fantástico para trabalhar, com ambiente muito amigável e casual, flexibilidade de horários e diversidade. Além disso, sinto que no GetNinjas o aprendizado é valorizado: tive apoio de meu líder sempre que quis aprender algo. Há bastante permeabilidade entre áreas, o que agiliza muito a resolução de problemas. Muito pouca burocracia no diaadia.;Sinto que algumas vezes a alta liderança não tem uma estratégia a longo prazo para as áreas, ou até para a empresa. Para alguns cargos e áreas faltam pessoas senior que possam de fato desenvolver os outros, causando alguma estagnação técnica em certas áreas. Remuneração e befícios estão um pouco a baixo do mecardo com que a empresa compete por talento.;Tentar comunicar uma visão estratégica, e buscar líderes e colaboradores com experiência que possam de fato elevar o patamar dos times. Encontrar uma solução para o problema de alto turnover;https://www.glassdoor.com.br/Avalia%C3%A7%C3%B5es/Avalia%C3%A7%C3%A3o-funcion%C3%A1rio-GetNinjas-RVW31822814.htm
